,id,name,overall_rating,review_count,address,city,state,zip
49,TzIJzamxdVGc3zReKbLGaA,Providence,4.5,2553,5955 Melrose Ave,Los Angeles,CA,90038
50,bKeJWK8yxAo0x5y_0kGyVA,Mercado Hollywood,4.5,612,3413 Cahuenga Blvd W,Los Angeles,CA,90068
51,hOHWu75whwn2hSc2HvRc6w,Night + Market Song,4.0,903,3322 W Sunset Blvd,Los Angeles,CA,90026
52,4Zx7Lw4U6F0sXrV4aiIyqQ,Majordōmo,4.0,621,1725 Naud St,Los Angeles,CA,90012
53,WjuO8PhtqINeWqm-ei8NQA,Dumpling House,4.5,457,3525 W 3rd St,Los Angeles,CA,90020
54,q8buTNBt3FU9vie0D5OOxA,Pizzeria Mozza,4.0,4071,641 N Highland Ave,Los Angeles,CA,90036
55,fBLnD9qxQggvDSPyOBsBLg,Ong Ga Nae Korean BBQ,4.5,405,936 South Vermont Ave,Los Angeles,CA,90006
56,6RDro8iSto0thExOPC3SIw,LA Brisket,5.0,6,736 N Broadway,Los Angeles,CA,90012
57,7qZBxWisbeVI34gIeNpP1A,Palms Thai Restaurant,4.0,2569,5900 Hollywood Blvd,Los Angeles,CA,90028
58,c7xLlX7RjxD0WUcl2sm4Lw,Faith & Flower,4.0,2280,705 W 9th St,Los Angeles,CA,90015
59,N7kYNSjGm4MEao5BMRCIgQ,Preux & Proper,4.0,1216,840 S Spring St,Los Angeles,CA,90014
60,CbW8U0QAwh5XRkaLt0xNZA,Masa of Echo Park,4.0,3880,1800 W Sunset Blvd,Los Angeles,CA,90026
61,UZlLBVnqs9Ikphin8CMVcA,Plan Check Kitchen & Bar,4.0,1088,1111 Wilshire Blvd,Los Angeles,CA,90017
62,P9Dt_kkU5BTe1v0tJ4KFNw,Angelini Osteria,4.5,1671,7313 Beverly Blvd,Los Angeles,CA,90036
63,E4W2T89vm4hmBwk39EoUuw,Tatsu Ramen,4.0,3124,7111 Melrose Ave,Los Angeles,CA,90046
64,6Dd4kTDiikEB3wQp___0fA,Taqueria Los Anaya,4.5,1059,4651 W Adams Blvd,Los Angeles,CA,90016
65,Wjckf5QPdVQw1ZG82zEarA,M Grill,4.0,1860,3832 Wilshire Blvd,Los Angeles,CA,90010
66,0z23Jk7U_MpvtqKINPL2fA,Dirt Dog,4.5,1649,2528 S Figueroa St,Los Angeles,CA,90007
67,cSSyQ9xttMy6Gn8TFyNH7w,Spare Tire Kitchen & Tavern,4.0,943,5370 Wilshire Blvd,Los Angeles,CA,90036
68,HXWdcnzYG1zmf0vDplmEEQ,The Crack Shack,4.0,259,10250 Santa Monica Blvd,Los Angeles,CA,90067
69,CcqraT0cuGKYEcZ1ri_kxg,BROKEN MOUTH | Lee's Homestyle,5.0,473,231 E 9th St,Los Angeles,CA,90015
70,phMPgmi6-yh3Qs_PRbTT1g,Mercado Los Angeles,4.0,1045,7910 W 3rd St,Los Angeles,CA,90048
71,F64dimaPmt7_imQ4s2yGow,Gogobop Korean Rice Bar,4.5,246,3456 Wilshire Blvd,Los Angeles,CA,90010
72,pjh40JY5YwWeV8aKhkXERg,Myungrang Hot Dog-California Market LA,4.5,305,450 S Western Ave,Los Angeles,CA,90020
73,TWHGJkTAbF22hvXeReQp9w,Kobawoo House,4.5,1098,698 S Vermont Ave,Los Angeles,CA,90005
74,eNPaF_hVdpxMkzyq9kenYQ,The Park's Finest,4.0,1879,1267 W Temple St,Los Angeles,CA,90026
75,YoQn8MtOimQbqi839TmeZw,Osteria Mozza,4.0,2626,6602 Melrose Ave,Los Angeles,CA,90038
76,71W-QN3-_DHnzUkAc7EG6Q,Stout Burgers & Beers,4.0,1939,1544 N Cahuenga Blvd,Los Angeles,CA,90028
77,6ytRLP9rivVIcMptLYkfkA,Rasselbock L.A. Kitchen & Beer Garden,4.5,28,3817 Grand View Blvd,Los Angeles,CA,90066
78,vfHJzF0ShYtwmotXE-0PiA,Figueroa Philly Cheese Steak,4.5,1022,3850 S Figueroa St,Los Angeles,CA,90037
79,yJ9wI3NEy65oGMKjtaGIxA,Odys and Penelope,4.0,580,127 S La Brea,Los Angeles,CA,90036
80,Evi45sCTHEVUbJ1j_iNGgg,Shaquille’s,3.5,274,800 W Olympic Blvd,Los Angeles,CA,90015
81,Kx_d7X7qjj9EoX-A7eC3gA,Maggiano's Little Italy,4.0,1729,189 The Grove Dr,Los Angeles,CA,90036
82,gjPZZzmkVANey4vGFYmC7A,Little Sister,4.0,1313,523 W 7th St,Los Angeles,CA,90017
83,nGlLaC0p0naSlgdy2-HCVw,71 Above,4.0,1488,633 W 5th St,Los Angeles,CA,90071
84,PXYKRPkEcf4Mczfp_AfP0w,Corn Man,4.5,849,2338 Workman St,Los Angeles,CA,90031
85,iFQOcE33X12V_iO4WY1qqg,Tokyo Cube,4.5,366,3175 Cahuenga Blvd W,Los Angeles,CA,90068
86,SqWYLEwZxJY7Et8w24lzjw,Crispy School,5.0,9,526 S Occidental Blvd,Los Angeles,CA,90057
87,Dnn4_XmzQxOFNpnqh7KyWg,Seongbukdong,4.0,1059,3303 W 6th St,Los Angeles,CA,90020
88,c65CdRbg7ag7wKNt9Id9bQ,Oasis Mediterranean Cuisine,5.0,222,1663 South La Cienega Blvd,Los Angeles,CA,90035
89,UdpE_5k2c3zsGBFdcAjMGA,Ruen Pair,4.0,1611,5257 Hollywood Blvd,Los Angeles,CA,90027
90,BDRVlHnK4l0T0ANb7M-Eqg,Guisados,4.5,1920,1261 W Sunset Blvd,Los Angeles,CA,90026
91,KxSkOgk1-IHwK9XgM_N8Ew,Eight Korean BBQ,4.5,1585,863 S Western Ave,Los Angeles,CA,90005
92,Baqs3SIHR60lXxXAFkjTDg,Bludso's Bar & Que,4.0,1763,609 N La Brea Ave,Los Angeles,CA,90036
93,FoEMpu0X_bGCb7yRreMxMQ,Tsujita LA Artisan Noodle,4.0,3679,2057 Sawtelle Blvd,Los Angeles,CA,90025
94,k8xtuersBm2cZl0Lao2K5g,The Bun Shop,4.0,1406,151 N Western Ave,Los Angeles,CA,90004
95,PX8INO1KIEn9kLGKQz8U-w,Ham Ji Park,4.0,1426,3407 W 6th St,Los Angeles,CA,90020
96,LNb-ElJwKIXS6Lx5xdRB1Q,Toca Madera,4.0,1707,8450 W 3rd St,Los Angeles,CA,90048
97,lRScnMRd-FBlT5QQyrUEUQ,PASTA e PASTA by Allegro,4.5,601,432 E 2nd St,Los Angeles,CA,90012
98,G_V5eJFfYlTEERyIPR-8MQ,Otium,4.0,1698,222 S Hope St,Los Angeles,CA,90012
99,OowWjnNFs-Lfw0Kfx8GmJw,Izakaya Fu-ga,4.0,872,111 S San Pedro St,Los Angeles,CA,90012
100,Fb3WueRF1ekhs72psinq5w,Mario's Peruvian & Seafood,4.0,2182,5786 Melrose Ave,Los Angeles,CA,90038
101,WnEQZDZ86ozJjnAkw8tYRQ,Chinchikurin - Little Tokyo,4.0,343,350 E 1st St,Los Angeles,CA,90012
102,9FuxqbYXM0vaPnzrQ7B_qQ,Soowon Galbi KBBQ Restaurant,4.5,2425,856 S Vermont Ave,Los Angeles,CA,90005
103,uW5G6PjMAEXBWDlpDis6-A,Gusto,4.0,509,8022 W 3rd St,Los Angeles,CA,90048
104,PpVsIH7cA_mLZEOlzqrY8g,Lao Tao,4.0,319,727 N Broadway,Los Angeles,CA,90012
105,0O1PywQt1i2APvECFSSoBw,Hinoki & The Bird,3.5,1321,10 W Century Dr,Los Angeles,CA,90067
106,Wg2VeeGsAcOEa_0qI1vgQw,Sushi by H,4.5,1581,480 S San Vicente Blvd,Los Angeles,CA,90048
107,kF_lSWagvBreXwEpCMdHhQ,Grand Central Market,4.0,2350,317 S Broadway,Los Angeles,CA,90013
108,jVYU9iXvBMiC2A4H12Azfg,AOC,4.0,2149,8700 W 3rd St,Los Angeles,CA,90048
109,WwC3_ApPhjTbv2YT5pH2oA,Yardbird Southern Table & Bar,4.5,710,8500 Beverly Blvd,Los Angeles,CA,90048
110,_NEcYN1YhwHnkFsXlSTdHw,Papilles Bistro,4.5,413,6221 Franklin Ave,Los Angeles,CA,90028
111,xU6pcazbyB1lxA631YJEkg,Joy,4.5,408,5100 York Blvd,Los Angeles,CA,90042
112,ctB_3PPniGMzs49wEqDF7g,Ten-Raku,4.5,363,4177 W 3rd St,Los Angeles,CA,90020
113,tYlfZ4llQPd5xgQZLT1ILQ,The District by Hannah An,4.0,983,8722 W 3rd St,Los Angeles,CA,90048
114,BEItepse0gBSfkJ4sb_k-g,Hae Ha Heng Thai Bistro,4.5,1026,301 S Western Ave,Los Angeles,CA,90020
115,8OpRgGTpyyAeEm7OQX69OQ,Kass Wine Bar & Restaurant,4.5,51,320 S La Brea Ave,Los Angeles,CA,90036
116,cK9wMWnQEW9MdYjc-YWueg,The Factory Kitchen,4.0,1228,1300 Factory Pl,Los Angeles,CA,90013
117,lCQaymsrtgmWDMPcEuueeQ,Slab,4.5,174,8136 W 3rd St,Los Angeles,CA,90048
118,4B_hWagBKAMcsotnnoH30Q,Little Pine,4.5,757,2870 Rowena Ave,Los Angeles,CA,90039
119,e8yeADAtTGRyzkOLG5iKSg,Little Jewel of New Orleans,4.0,1569,207 Ord St,Los Angeles,CA,90012
120,Lke7X_Yug8ZB8M8mf5vSVw,Chinchikurin,4.5,438,2119 Sawtelle Blvd,Los Angeles,CA,90025
121,5SVj7kpiXxCEnkzL_8wA1g,Redbird,4.0,1250,114 E 2nd St,Los Angeles,CA,90012
122,LlaXbuPQBsRXjZFEx5Wkjw,Pace,4.0,866,2100 Laurel Canyon Blvd,Los Angeles,CA,90046
123,RarITW4zBvhqKAK8FVOFCQ,Supremo,4.5,59,901 S La Brea Ave,Los Angeles,CA,90036
124,pDqUvoNY1kR963MJnfnL6Q,Water Grill- Los Angeles,4.0,1932,544 S Grand Ave,Los Angeles,CA,90071
125,IxuAHGu-eQ4fZJZTdzGTYQ,Gus's World Famous Fried Chicken,4.0,1269,1262 Crenshaw Blvd,Los Angeles,CA,90019
126,EZYxkHi9nhI2Hg5KDdxyLw,Beer Belly,4.0,2326,532 S Western Ave,Los Angeles,CA,90020
127,hC745S5W4HTq606ySmBJNw,KazuNori  | The Original Hand Roll Bar,4.5,2428,421 S Main St,Los Angeles,CA,90013
128,GKQApReu8U9hip4A2ApJ_A,Osteria La Buca,4.0,1764,5210 Melrose Ave,Los Angeles,CA,90038
129,H9ZlIqEp930ZRniH6VRp8w,Papa Cristo's,4.5,1804,2771 W Pico Blvd,Los Angeles,CA,90006
130,H4ew518bqV4ew61g-brTrQ,Button Mash,4.0,555,1391 Sunset Blvd,Los Angeles,CA,90026
