Restaurant Name,Restaurant Address,Restaurant City,Restaurant State,Restaurant ZIP,Health Inspection Score,Health Inspection Grade
IT'S BOBA TIME,6660 W SUNSET BLVD STE Q,LOS ANGELES,CA,90028,98,A
ABSOLUTELY PHOBULOUS,350 N LA CIENEGA BLVD,LOS ANGELES,CA,90048,90,A
EL TIGRE MARKET,4255 UNION PACIFIC AVE,LOS ANGELES,CA,90023,96,A
MCDONALD'S #28776,3650 W MARTIN LUTHER KING JR BLVD STE 271,LOS ANGELES,CA,90008,93,A
LOUISIANA FISH MARKET,11816 S WILMINGTON AVE,LOS ANGELES,CA,90059,90,A
MC DONALD'S #5197968,4000 S FIGUEROA ST,LOS ANGELES,CA,90037,95,A
JANET LEE,1300 S SAN PEDRO ST # 111,LOS ANGELES,CA,90015,94,A
EGGSLUT,1611 PACIFIC AVE,LOS ANGELES,CA,90921,93,A
TOMAS MARKET,4292 UNION PACIFIC AVE,LOS ANGELES,CA,90023,90,A
TRUXTON AMERICAN BISTRO,8611 TRUXTON AVE,LOS ANGELES,CA,90045,96,A
KING THAI FOOD,1253 N VINE ST STE 7,LOS ANGELES,CA,90038,91,A
MAMACITA PERUVIAN CANTINA,6801 HOLLYWOOD BLVD # 418,LOS ANGELES,CA,90028,93,A
BURGER KING # 11490,4918 W SUNSET BLVD,LOS ANGELES,CA,90027,96,A
THE LINE HOTEL,3515 WILSHIRE BLVD,LOS ANGELES,CA,90010,90,A
EL CHALATECO,1540 W ADAMS BLVD,LOS ANGELES,CA,90007,97,A
LAROCCO'S,8806 S SEPULVEDA BLVD,LOS ANGELES,CA,90045,92,A
LA PLAYA RESTAURANT,1642 W ADAMS BLVD,LOS ANGELES,CA,90007,96,A
THE DARKROOM KITCHEN,7302 MELROSE AVE,LOS ANGELES,CA,90046,90,A
161 STREET PIZZERIA,3252 CAHUENGA BLVD W,LOS ANGELES,CA,90068,93,A
PIZZA ROSSA,4040 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,CA,90008,90,A
MCDONALD'S #4431,1845 S LA CIENEGA BLVD,LOS ANGELES,CA,90035,87,B
KITCHEN 24,1608 N CAHUENGA BLVD,LOS ANGELES,CA,90028,86,B
DOC POPCORN,3650 MARTIN LUTHER KING JR BLVD # 450,LOS ANGELES,CA,90008,97,A
LOUISIANA FRIED CHICKEN & FI,4501 W MLK BLVD STE #F,LOS ANGELES,CA,90016,89,B
LOS BURRITOS,4929 W SUNSET BLVD,LOS ANGELES,CA,90027,93,A
BREWWELL COFFEE,6515 SUNSET BLVD,LOS ANGELES,CA,90028,96,A
THE DARKROOM KITCHEN,7302 MELROSE AVE,LOS ANGELES,CA,90046,92,A
YOUNGS MEAT MKT/DELI,5421 S HOOVER ST,LOS ANGELES,CA,90037,96,A
SYDS PHARMACY & KOSHER VITAMINS,7111 BEVERLY BLVD,LOS ANGELES,CA,90036,98,A
GREEN HOUSE,1100 S SAN PEDRO ST # N1,LOS ANGELES,CA,90015,93,A
MANDARIN KITCHEN,1822 WESTWOOD BLVD,LOS ANGELES,CA,90025,94,A
THE WAFFLE,6255 W SUNSET BLVD STE #105,LOS ANGELES,CA,90028,98,A
KASANDRA'S PUPUSERIA,5736 S BROADWAY,LOS ANGELES,CA,90037,75,C
CENTRO LATINO MARKET,4512 S HOOVER ST,LOS ANGELES,CA,90037,93,A
NEW YORK CAFE,4959 W SUNSET BLVD,LOS ANGELES,CA,90027,96,A
MH ZH,3536 W SUNSET BLVD,LOS ANGELES,CA,90026,93,A
GOOD TIME DONUTS,2548 W TEMPLE ST,LOS ANGELES,CA,90026,95,A
ROSS DRESS FOR LESS,8489 W 3RD ST,LOS ANGELES,CA,90048,97,A
"BURGER FACTORY II, INC",1358 W MARTIN LUTHER KING BLVD,LOS ANGELES,CA,90037,95,A
SOUPLANTATION,100 N LA CIENEGA BLVD # E-3,LOS ANGELES,CA,90048,91,A
ILONGGO RESTAURANT,4627 SANTA MONICA BLVD # C,LOS ANGELES,CA,90029,81,B
KANPAI JAPANESE SUSHI BAR & GRILL,8736 S SEPULVEDA BLVD UNIT C,LOS ANGELES,CA,90045,97,A
SOUPLANTATION #135,2921 LOS FELIZ BLVD 3,LOS ANGELES,CA,90039,97,A
EL TORITO CAFE,5720 1/2 E BEVERLY BLVD,LOS ANGELES,CA,90022,99,A
JANG AN RESTAURANT,2773 W OLYMPIC BLVD,LOS ANGELES,CA,90006,90,A
POKE BAR,5273 OLYMPIC BLVD,LOS ANGELES,CA,90036,96,A
WONDER FOOD BAKERY,943 N BROADWAY STE 101,LOS ANGELES,CA,90012,97,A
DONA BIBI'S RESTAURANT,2400 W 7TH ST #101 -103,LOS ANGELES,CA,90057,91,A
THE BEL-AIR,662 N SEPULVEDA BLVD,LOS ANGELES,CA,90049,97,A
THE PASTRY PLACE,201 N LOS ANGELES ST STE 8,LOS ANGELES,CA,90012,97,A
POLLO A LA BRASA,764 S WESTERN AVE,LOS ANGELES,CA,90005,91,A
AMAZEBOWLS,300 S SANTA FE # P,LOS ANGELES,CA,90013,95,A
HEIRLOOM,3232 N FIGUEROA ST,LOS ANGELES,CA,90065,94,A
8TH STREET OK LIQUOR,749 S WESTERN AVE,LOS ANGELES,CA,90005,97,A
CHINA EXPRESS,2331 E 4TH ST,LOS ANGELES,CA,90033,90,A
GROUND WORK COFFEE,811 TRACTION AVE,LOS ANGELES,CA,90013,93,A
HAMASAKU,11043 SANTA MONICA BLVD,LOS ANGELES,CA,90025,90,A
OK CHINESE FOOD,2256 COLORADO BLVD STE #112,LOS ANGELES,CA,90041,91,A
SHERATON HOTEL,6101 W CENTURY BLVD,LOS ANGELES,CA,90045,98,A
RALPHS MARKET #266,11922 S VERMONT AVE,LOS ANGELES,CA,90044,93,A
BONTOBAGI,3250 W OLYMPIC BLVD # 315,LOS ANGELES,CA,90006,90,A
JACK IN THE BOX #3214,1615 S BROADWAY,LOS ANGELES,CA,90015,94,A
KABOB BOWL,3125 N SAN FERNANDO RD,LOS ANGELES,CA,90065,92,A
YUM YUM DONUT SHOP #54,1834 E MARENGO ST,LOS ANGELES,CA,90033,97,A
EL TORITO CAFE,5720 1/2 E BEVERLY BLVD,LOS ANGELES,CA,90022,100,A
8 OZ POKE,7217 MELROSE AVE,LOS ANGELES,CA,90046,95,A
GROW,300 S SANTA FE AVE,LOS ANGELES,CA,90013,97,A
NORTHERN CAFE,8459 BEVERLY BLVD,LOS ANGELES,CA,90048,91,A
FORTUNE HOUSE,6031 SAN VICENTE BLVD,LOS ANGELES,CA,90036,91,A
MEAT LOVE BBQ,1145 S WESTERN AVE,LOS ANGELES,CA,90006,90,A
SUN HA JANG,4032 W OLYMPIC BLVD,LOS ANGELES,CA,90019,96,A
STAR FUSION POCHA,1144 S WESTERN AVE STE 107,LOS ANGELES,CA,90006,90,A
LA MONARCA BAKERY,101 N BOYLE AVE,LOS ANGELES,CA,90033,96,A
BAOHAUS,727 N BROADWAY STE 130,LOS ANGELES,CA,90012,92,A
OLYMPIC CAFE HOUSE OF BKFST,3728 W OLYMPIC BLVD,LOS ANGELES,CA,90019,92,A
LAS CHAMPAS RESTAURANT #12,4509 WHITTIER BLVD,LOS ANGELES,CA,90022,90,A
IMART,269 S LOS ANGELES ST,LOS ANGELES,CA,90012,97,A
MAC TACO,692 S ALVARADO ST,LOS ANGELES,CA,90057,90,A
ECLIPSE,3084 PICO BLVD,LOS ANGELES,CA,90006,91,A
GAJU SUSHI & UDON,450 S WESTERN AVE,LOS ANGELES,CA,90020,90,A
LE BLANC CAFE,2834 N BROADWAY,LOS ANGELES,CA,90031,93,A
"PAN HOLIC, BUBBLES",3250 W OLYMPIC BLVD #316 -317,LOS ANGELES,CA,90006,90,A
213 BEER,3224 W OLYMPIC BLVD UNIT 103,LOS ANGELES,CA,90006,90,A
TRIMANA CITY HALL EAST,200 N MAIN ST FL FL 1,LOS ANGELES,CA,90012,93,A
TSUJITA LA RESTAURANT,2057 SAWTELLE BLVD,LOS ANGELES,CA,90025,92,A
FRIKADELLES & FRITES,6438 E WHITTIER BLVD,LOS ANGELES,CA,90022,92,A
THE ZLICIOUS CATERING,1901 VENICE BLVD,LOS ANGELES,CA,90006,96,A
SHERATON HOTEL,6101 W CENTURY BLVD,LOS ANGELES,CA,90045,99,A
UMAMI POKI / ASAKUMA SUSHI DELIVERY,11769 SANTA MONICA BLVD,LOS ANGELES,CA,90025,83,B
POPEYES CHICKEN #3375,2000 MARENGO ST,LOS ANGELES,CA,90033,92,A
HARVARD YARD,1400 S WESTERN AVE,LOS ANGELES,CA,90006,90,A
LOUISIANA FRIED CHICKEN,11415 S VERMONT AVE,LOS ANGELES,CA,90044,92,A
EAST LOS ANGELES OCCUPATIONA,2100 MARENGO ST,LOS ANGELES,CA,90033,97,A
PASTA E PASTA BY ALLEGRO,432 E 2ND ST,LOS ANGELES,CA,90012,92,A
RANCHITO JR #2,1913 E GAGE AVE,LOS ANGELES,CA,90001,90,A
U PICK CAFE,4682 YORK BLVD,LOS ANGELES,CA,90041,85,B
CELAYA BAKERY,2304 S VERMONT AVE,LOS ANGELES,CA,90007,91,A
THE PELICAN BELIZEAN CUISINE,4254 S VERMONT AVE,LOS ANGELES,CA,90037,96,A
PAMPAS GRILL AUXILLARY KITCH,6333 W 3RD ST STE E 312,LOS ANGELES,CA,90036,95,A
VILLAGE MINI MART,113 E 5TH ST,LOS ANGELES,CA,90013,90,A
DODGER STADIUM,1000 VIN SCULLY AVE,LOS ANGELES,CA,90012,96,A
SAKANA SUSHI,321 W 9TH ST,LOS ANGELES,CA,90015,96,A
HEU,3959 WILSHIRE BLVD B211,LOS ANGELES,CA,90103,90,A
STAR BAKERY,11628 SANTA MONICA BLVD # 6,LOS ANGELES,CA,90025,94,A
HWAL UH KWANG JANG,730 S WESTERN AVE STE #101,LOS ANGELES,CA,90005,91,A
SWEETFIN POKE,135 N LARCHMONT BLVD,LOS ANGELES,CA,90004,97,A
A & S MARKET,10867 VENICE BLVD,LOS ANGELES,CA,90034,97,A
"GONZALEZ,RUIZ JOSE",940 S LORENA ST,LOS ANGELES,CA,90023,92,A
THE PARK,1400 W SUNSET BLVD,LOS ANGELES,CA,90026,93,A
THE SANDWICH JOINT,1068 W 7TH ST,LOS ANGELES,CA,90017,95,A
WON KOK RESTAURANT,208 ALPINE ST,LOS ANGELES,CA,90012,84,B
ART MAJOR,636 S MARIPOSA AVE,LOS ANGELES,CA,90010,99,A
777 MARKET,1900 S LA BREA AVE # 1,LOS ANGELES,CA,90016,95,A
MON AMOUR CAFE,927 BROXTON AVE,LOS ANGELES,CA,90024,90,A
DODGER STADIUM,1000 VIN SCULLY AVE,LOS ANGELES,CA,90012,93,A
DENISE'S MEAT MARKET,6027 S COMPTON AVE,LOS ANGELES,CA,90001,87,B
LA MEXICANA SUPER MARKET,8319 S MAIN ST,LOS ANGELES,CA,90003,93,A
RALPHS MARKET #16,670 S WESTERN AVE,LOS ANGELES,CA,90010,99,A
EL FAROLITO,2737 W PICO BLVD,LOS ANGELES,CA,90006,92,A
DODGER STADIUM,1000 VIN SCULLY AVE,LOS ANGELES,CA,90012,84,B
RESTAURANT CARNITAS BECERRA,8436 COMPTON AVE,LOS ANGELES,CA,90001,81,B
PAO JAO,928 S WESTERN AVE # 137,LOS ANGELES,CA,90006,91,A
RABBI'S DAUGHTER BUTCHER SHOP,2322 WESTWOOD BLVD,LOS ANGELES,CA,90064,95,A
KABOB GRILL,10401 VENICE BLVD STE #101B,LOS ANGELES,CA,90034,96,A
EL CHINO RESTAURANT & TAQUERIA,2119 W 8TH ST D,LOS ANGELES,CA,90057,91,A
PICO RICA RICO,2704 W PICO BLVD,LOS ANGELES,CA,90006,94,A
OXFORD HOTEL,745 S OXFORD AVE STE 201,LOS ANGELES,CA,90005,92,A
L&L HAWAIIAN BBQ,4430 YORK BLVD # B,LOS ANGELES,CA,90041,95,A
MI CABANA CAFE,1224 S ATLANTIC BLVD,LOS ANGELES,CA,90022,86,B
REST & PAN LA UNIVERSAL,2615 W 7TH ST,LOS ANGELES,CA,90057,86,B
EL CAMAGUEY,10925 VENICE BLVD,LOS ANGELES,CA,90034,97,A
THE FRENCH CREPE COMPANY PREP KITCHEN,6333 W 3RD ST # K-14,LOS ANGELES,CA,90036,96,A
DODGER STADIUM,1000 VIN SCULLY AVE,LOS ANGELES,CA,90012,93,A
GOLDEN MONGOLIAN RESTAURANT,3012 WILSHIRE BLVD,LOS ANGELES,CA,90010,94,A
KEUNGAMA TOFU RESTAURANT,3020 WILSHIRE BLVD STE 119,LOS ANGELES,CA,90010,90,A
BERNARDO'S MINI MARKET,4819 S VERMONT AVE STE A,LOS ANGELES,CA,90037,91,A
EL DORADO NIGHT CLUB,4253 S MAIN ST,LOS ANGELES,CA,90037,91,A
SANTA ROSA PUPUSERIA Y RESTAURANTE,4307 S VERMONT AVE,LOS ANGELES,CA,90037,93,A
GUISADOS,541 S SPRING ST,LOS ANGELES,CA,90013,96,A
KOWLOON DIM SUM,223 S VERMONT AVE,LOS ANGELES,CA,90004,84,B
THE COFFEE BEAN & TEA LEAF,5970 W OLYMPIC BLVD,LOS ANGELES,CA,90036,97,A
ROUND RESTAURANT,3618 W 3RD ST,LOS ANGELES,CA,90020,90,A
SPARTINA,7505 MELROSE AVE,LOS ANGELES,CA,90046,91,A
CHOI'S MARKET,1828 N BROADWAY,LOS ANGELES,CA,90031,93,A
GREEN APPLE MARKET,300 E 5TH ST,LOS ANGELES,CA,90013,84,B
MR. HOLMES BAKEHOUSE,248 N LARCHMONT BLVD,LOS ANGELES,CA,90004,98,A
TASTY WOK CUISINE,11628 SANTA MONICA BLVD # 7,LOS ANGELES,CA,90025,93,A
BEELMAN'S PUB,600 S SPRING ST # R1,LOS ANGELES,CA,90014,97,A
KING EXPRESS,4333 S VERMONT AVE,LOS ANGELES,CA,90037,90,A
DELI-CIOUS,5966 W OLYMPIC BLVD,LOS ANGELES,CA,90036,97,A
EL POLLO LOCO # 5502,1934 W OLYMPIC BLVD,LOS ANGELES,CA,90006,95,A
J LUIS MARKET MEAT DEPT,4253 S VERMONT AVE,LOS ANGELES,CA,90037,98,A
MI QUERIDO PULGARCITO,727 S ALVARADO ST,LOS ANGELES,CA,90057,95,A
CARL'S JR #299,106 E OLYMPIC BLVD,LOS ANGELES,CA,90015,93,A
MI FLOR BLANCA,2306 1/2 S UNION AVE,LOS ANGELES,CA,90007,98,A
BEST LA KITCHEN,696 S ALVARADO ST,LOS ANGELES,CA,90057,87,B
BARCITO,403 W 12TH ST,LOS ANGELES,CA,90015,97,A
CAROLYN'S KITCHEN,853 E MANCHESTER AVE,LOS ANGELES,CA,90001,100,A
CALIFORNIA MARKET,450 S WESTERN AVE,LOS ANGELES,CA,90020,90,A
THE LEXINGTON THEATER,129 E 3RD ST,LOS ANGELES,CA,90013,95,A
FOUNDERS ALE HOUSE,8771 W PICO BLVD,LOS ANGELES,CA,90035,92,A
CHIQUACLE RESTAURANT,103 PASEO DE LA PLAZA ST,LOS ANGELES,CA,90012,93,A
LANGERS DELICATESSEN,704 S ALVARADO ST,LOS ANGELES,CA,90057,95,A
CALIFORNIA MARKET,450 S WESTERN AVE,LOS ANGELES,CA,90020,91,A
JACK IN THE BOX #3173,6409 W SUNSET BLVD,LOS ANGELES,CA,90028,90,A
THE COFFEE TABLE EAGLE ROCK,1958 COLORADO BLVD,LOS ANGELES,CA,90041,91,A
CALIFORNIA MARKET,450 S WESTERN AVE,LOS ANGELES,CA,90020,90,A
CONCHITAS RESTAURANT,2580 W PICO BLVD,LOS ANGELES,CA,90006,90,A
GOOD DAY DONUTS & CHINESE FO,1912 S LA BREA AVE,LOS ANGELES,CA,90016,80,B
LOUISE'S TRATTORIA,232 N LARCHMONT BLVD,LOS ANGELES,CA,90004,94,A
MI NUEVO MOLCAJETE RESTAURANT,2600 W 6TH ST,LOS ANGELES,CA,90015,92,A
MELODY BAR,9132 S SEPULVEDA BLVD,LOS ANGELES,CA,90045,98,A
"MANGEN,HOWARD",2532 S FIGUEROA ST,LOS ANGELES,CA,90007,94,A
BAK KUNG KOREAN BBQ 2,233 S VERMONT AVE,LOS ANGELES,CA,90004,93,A
RALPHS MARKET #16,670 S WESTERN AVE,LOS ANGELES,CA,90010,98,A
EKKAMAI THAI RESTAURANT,13223 W WASHINGTON BLVD,LOS ANGELES,CA,90066,95,A
MANOLY'S BAKERY/CAFE,11771 SANTA MONICA BLVD,LOS ANGELES,CA,90025,90,A
CHESSCOS COCINA MEXICANA,752 S VERMONT AVE,LOS ANGELES,CA,90005,90,A
SHUTO IZAKAYA,3869 WILSHIRE BLVD,LOS ANGELES,CA,90010,84,B
HAN KOOK SOON DAE,730 S WESTERN AVE STE #111,LOS ANGELES,CA,90005,92,A
LAS PALMAS PUPUSERIA,1165 E FLORENCE AVE,LOS ANGELES,CA,90001,82,B
DELIA'S RESTAURANT,4501 YORK BLVD,LOS ANGELES,CA,90041,90,A
FRESH J THE BOX,13354 W WASHINGTON BLVD,LOS ANGELES,CA,90066,96,A
FRANCO ON MELROSE,6919 MELROSE AVE,LOS ANGELES,CA,90038,91,A
PAPA JOHN'S PIZZA,5962 W OLYMPIC BLVD,LOS ANGELES,CA,90036,97,A
LOLITAS DELICATESSEN & GROCE,6050 E WHITTIER BLVD,LOS ANGELES,CA,90022,90,A
THE SLIPPER CLUTCH - ( 1ST LEVEL ),351 S BROADWAY,LOS ANGELES,CA,90013,92,A
DODGER STADIUM,1000 VIN SCULLY AVE,LOS ANGELES,CA,90012,91,A
LE COMPTOIR,3606 W 6TH ST,LOS ANGELES,CA,90020,94,A
CHIFA,754 S VERMONT AVE,LOS ANGELES,CA,90005,90,A
DODGER STADIUM,1000 VIN SCULLY AVE,LOS ANGELES,CA,90012,93,A
PIT FIRE PIZZA,12924 W WASHINGTON BLVD,LOS ANGELES,CA,90066,90,A
PANADERIA GUERRERO,2411 W OLYMPIC BLVD STE #1,LOS ANGELES,CA,90006,94,A
RALPHS MARKET #48,3300 W SLAUSON AVE,LOS ANGELES,CA,90043,92,A
RALPHS MARKET #759,10861 WEYBURN AVE,LOS ANGELES,CA,90024,94,A
JJ'S SANDWICH BAR,119 E 6TH ST,LOS ANGELES,CA,90014,91,A
DIAMOND BUFFET AND GRILL,1901 W 7TH ST,LOS ANGELES,CA,90057,91,A
QUICK E MART,244 E 37TH ST,LOS ANGELES,CA,90011,92,A
GIGI'S BAKERY & CAFE,2200 W TEMPLE ST,LOS ANGELES,CA,90026,92,A
AFC SUSHI @ RALPHS #16,670 S WESTERN AVE,LOS ANGELES,CA,90010,93,A
XEL-HA RESTURANT,4261 S VERMONT AVE,LOS ANGELES,CA,90037,96,A
KURA REVOLVING SUSHI BAR,2130 SAWTELLE BLVD #111,LOS ANGELES,CA,90025,90,A
WATT'S HP MEAT MARKET,10701 S COMPTON AVE,LOS ANGELES,CA,90059,96,A
CLAUDIA CAFE,208 W 6TH ST,LOS ANGELES,CA,90014,90,A
WABASH RANCH MARKET,2844 WABASH AVE,LOS ANGELES,CA,90033,92,A
LA CEVICHERIA,3809 W PICO BLVD,LOS ANGELES,CA,90019,97,A
MCDONALD'S #13788,4011 S CENTRAL AVE,LOS ANGELES,CA,90011,93,A
MASSIS KABOB,10250 STA MON BLVD STE FC11,LOS ANGELES,CA,90067,91,A
ALBERTSON'S #4131,3901 S CRENSHAW BLVD,LOS ANGELES,CA,90008,96,A
WATTS PROFESSIONAL PHARMACY,9909 S COMPTON AVE,LOS ANGELES,CA,90002,99,A
GROUNDWORK COFFEE,108 W 2ND ST,LOS ANGELES,CA,90012,91,A
DAILY DONUT HOUSE,1628 FIRESTONE BLVD,LOS ANGELES,CA,90001,96,A
WARD VILLAS FOR SENIORS,1177 W ADAMS BLVD,LOS ANGELES,CA,90008,98,A
SAN JULIAN MEXICAN FOOD,1145 S SAN JULIAN ST #112,LOS ANGELES,CA,90015,83,B
MANDARIN HOUSE-JIN HUNG GAK,928 S WESTERN AVE STE 147,LOS ANGELES,CA,90006,90,A
COFFEE HOUSE 1,320 W 4TH ST,LOS ANGELES,CA,90013,93,A
MEXICALPAN RESTAURANT,9518 S MAIN ST,LOS ANGELES,CA,90003,90,A
TACOS TU MADRE,1824 N VERMONT AVE,LOS ANGELES,CA,90027,92,A
CAFE GIOIA,3055 WILSHIRE BLVD STE 120,LOS ANGELES,CA,90010,95,A
HAROLD & BELLE'S CREOLE RESTAURANT,2920 W JEFFERSON AVE,LOS ANGELES,CA,90018,93,A
SANTOYO'S SNACK BAR,110 N GRAND AVE 4TH FLOOR,LOS ANGELES,CA,90012,97,A
MERRY-GO-ROUND SNACK BAR,4730 CRYSTAL SPRINGS DR,LOS ANGELES,CA,90027,90,A
DYLLAN'S DELI,10866 WILSHIRE BLVD,LOS ANGELES,CA,90024,94,A
DON QUIXOTE,2811 E OLYMPIC BLVD,LOS ANGELES,CA,90023,98,A
AWOOLIM,928 S WESTERN AVE STE 125,LOS ANGELES,CA,90006,90,A
DANAS CAFES & BOBA,4270 S VERMONT AVE,LOS ANGELES,CA,90037,94,A
DENNY'S RESTAURANT #6231,530 RAMIREZ ST,LOS ANGELES,CA,90012,95,A
EL MIGUELENO,2301 S VERMONT AVE,LOS ANGELES,CA,90007,96,A
STARBUCKS COFFEE #9230,217 N HILL ST,LOS ANGELES,CA,90012,98,A
CARNICERIA RESTAURANTE LUPITA,1933 E GAGE AVE,LOS ANGELES,CA,90001,90,A
LE MACARON,5373 W PICO BLVD,LOS ANGELES,CA,90019,96,A
CACTUS MEXICAN FOOD,950 N VINE ST,LOS ANGELES,CA,90038,91,A
THE OINKSTER,776 VINE ST,LOS ANGELES,CA,90038,93,A
HASHTAG COFFEE & TEA,227 W 8TH ST,LOS ANGELES,CA,90014,90,A
BAK KUNG,3700 W OLYMPIC BLVD STE #100,LOS ANGELES,CA,90019,92,A
ORANGE DOOR,1666 1/2 W ADAMS BLVD,LOS ANGELES,CA,90007,95,A
STREET FOOD OF SEOUL,3500 W 6TH ST STE 228,LOS ANGELES,CA,90020,90,A
SUPERIOR GROCERS,3480 S LA BREA AVE,LOS ANGELES,CA,90016,96,A
RED SHELL FOODS,12027 SAN VICENTE BLVD,LOS ANGELES,CA,90049,97,A
AVILES MARKET,3052 W 7TH ST,LOS ANGELES,CA,90005,93,A
KIKKA @ WHOLE FOODS BRENTWOOD,11737 SAN VICENTE BLVD,LOS ANGELES,CA,90049,98,A
ALBERTSON'S #4131,3901 S CRENSHAW BLVD,LOS ANGELES,CA,90008,98,A
"WACKY WOK, INC.",8919 S SEPULVEDA BLVD,LOS ANGELES,CA,90045,97,A
ROYAL DELI MARKET,410 W 6TH ST # A,LOS ANGELES,CA,90014,90,A
AMAPOLA DELI & MARKET,7223 S COMPTON AVE,LOS ANGELES,CA,90001,90,A
CHUNG HAE JIN SEAFOOD REST,3470 W 6TH ST STE 8A,LOS ANGELES,CA,90020,91,A
MAIN STREET MARKET,3327 S MAIN ST,LOS ANGELES,CA,90007,92,A
SWEET E'S BAKE SHOP,4574 W ADAMS BLVD,LOS ANGELES,CA,90016,90,A
BOBA TIME- USC,3617 S VERMONT AVE,LOS ANGELES,CA,90007,97,A
CO CO FRESH TEA & JUICE,10912 LE CONTE AVE,LOS ANGELES,CA,90024,90,A
EL SENOR TACO,1517 E FLORENCE AVE,LOS ANGELES,CA,90001,92,A
D-TOWN BURGER BAR,216 W 6TH ST,LOS ANGELES,CA,90014,90,A
MARIO BROTHERS,12904 VENICE BLVD,LOS ANGELES,CA,90066,84,B
CANO'S MEXICAN RESTAURANT,258 W MANCHESTER AVE,LOS ANGELES,CA,90003,94,A
SALLY'S SNACK SHOP,228 W 6TH ST,LOS ANGELES,CA,90014,92,A
DODGER STADIUM,1000 VIN SCULLY AVE,LOS ANGELES,CA,90012,94,A
ALBERTSON'S #4131,3901 S CRENSHAW BLVD,LOS ANGELES,CA,90008,97,A
BROAD GREEN,6555 BARTON AVE FL 2ND,LOS ANGELES,CA,90038,94,A
VERNON BAKERY,1151 E VERNON AVE,LOS ANGELES,CA,90011,94,A
SUNSHINE LIQUOR,2619 W FLORENCE AVE,LOS ANGELES,CA,90043,91,A
WABASH RANCH MARKET,2844 WABASH AVE,LOS ANGELES,CA,90033,95,A
LOS ANGELES TENNIS CLUB,5851 CLINTON ST,LOS ANGELES,CA,90004,96,A
CHINCHIKURIN,2119 SAWTELLE BLVD,LOS ANGELES,CA,90025,85,B
FLAME BROILER TRBK #80,8730 1/4 S SEPULVEDA BLVD,LOS ANGELES,CA,90045,99,A
BAKERY NOSH,110 E 9TH ST # B- LOB30,LOS ANGELES,CA,90079,91,A
AMAPOLA DELI & MARKET,7223 S COMPTON AVE,LOS ANGELES,CA,90001,93,A
EDIBLE ARRANGEMENTS,6100 N FIGUEROA ST STE B,LOS ANGELES,CA,90042,97,A
BIBIGO,10250 SANTA MONICA BLVD,LOS ANGELES,CA,90067,91,A
THE POKE,935 BROXTON AVE,LOS ANGELES,CA,90024,90,A
CHIPOTLE MEXICAN GRILL #1996,3939 CRENSHAW BLVD,LOS ANGELES,CA,90008,93,A
TIME OUT,2975 WILSHIRE BLVD # 105,LOS ANGELES,CA,90010,94,A
MIKE'S DELI,4859 W SLAUSON AVE STE #B,LOS ANGELES,CA,90056,94,A
SABORES,7215 S HOOPER AVE,LOS ANGELES,CA,90003,98,A
"KIDS NUTRITION ""R"" US",2174 E 103RD ST,LOS ANGELES,CA,90002,97,A
GOOD GREEK GRILL,1820 N VERMONT AVE,LOS ANGELES,CA,90027,92,A
MR FISH MEX GRILL,4949 W SLAUSON AVE STE A2,LOS ANGELES,CA,90056,90,A
NOODLE WORLD JR.,8636 S SEPULVEDA BLVD,LOS ANGELES,CA,90045,99,A
DODGER STADIUM,1000 VIN SCULLY AVE,LOS ANGELES,CA,90012,92,A
MR WISDOM,3526 W SLAUSON AVE,LOS ANGELES,CA,90043,91,A
RAMEN YAMADAYA,1248 WESTWOOD BLVD,LOS ANGELES,CA,90024,94,A
WAKE & LATE,107 E 6TH ST,LOS ANGELES,CA,90014,96,A
DODGER STADIUM,1000 VIN SCULLY AVE,LOS ANGELES,CA,90012,92,A
6TH STREET MARKET,212 W 6TH ST,LOS ANGELES,CA,90014,90,A
VENUS MARKET,10117 S AVALON BLVD,LOS ANGELES,CA,90003,99,A
MILKFARM,2106 COLORADO BLVD,LOS ANGELES,CA,90041,97,A
RINCON HODURENO,1654 W ADAMS BLVD,LOS ANGELES,CA,90007,95,A
WEINERSCHNITZEL,4714 W SLAUSON AVE,LOS ANGELES,CA,90056,90,A
PANDA EXPRESS,800 WORLD WAY # A1-16,LOS ANGELES,CA,90045,82,B
CAFE CON LECHE BAKERY AND CAFE,1506 E 1ST ST,LOS ANGELES,CA,90033,85,B
DODGER STADIUM,1000 VIN SCULLY AVE,LOS ANGELES,CA,90012,93,A
LA MEXICANA MEAT MARKET,1778 E FIRESTONE BLVD,LOS ANGELES,CA,90001,93,A
REGAL 14 CONCESSION UPPER,1000 W OLYMPIC BLVD,LOS ANGELES,CA,90015,97,A
SEA DRAGON CHINESE REST.,101 S VERMONT AVE,LOS ANGELES,CA,90004,93,A
PAPA JOHN'S #2623,2222 S HOOVER ST,LOS ANGELES,CA,90007,98,A
MONTE CRISTO BANQUET HALL,1767 N VERMONT AVE,LOS ANGELES,CA,90027,90,A
SAGE VEGAN BISTRO,1700 W SUNSET BLVD,LOS ANGELES,CA,90026,94,A
OLYMPIC NOODLES,4008 W OLYMPIC BLVD,LOS ANGELES,CA,90019,96,A
LA MEXICANA DISCOUNT,1768 E FIRESTONE BLVD,LOS ANGELES,CA,90001,99,A
HRCO SNACK SHOP,3411 W FLORENCE AVE,LOS ANGELES,CA,90043,97,A
