Restaurant Name,Restaurant Address,Restaurant City,Restaurant State,Restaurant ZIP,Health Inspection Score,Health Inspection Grade
AMANECER ILOBASQUENCE & FAMI,4301 S AVALON BLVD,LOS ANGELES,CA,90011,94,A
WABA GRILL,7109 W SUNSET BLVD,LOS ANGELES,CA,90046,100,A
ALEX FISH MARKET,1451 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,CA,90062,98,A
MANNARIA,3250 W OLYMPIC BLVD #308,LOS ANGELES,CA,90006,98,A
STEVE S HYUN,816 S GRAND AVE,LOS ANGELES,CA,90017,96,A
THANK YOU FOR COMING,3416 GLENDALE BLVD,LOS ANGELES,CA,90039,97,A
TORTILLERIA COATZINGO,4205 S BROADWAY ST,LOS ANGELES,CA,90037,97,A
CAKE HOUSE,124 N WESTERN AVE,LOS ANGELES,CA,90004,95,A
PANDA EXPRESS #2596,1544 S LA CIENEGA BLVD,LOS ANGELES,CA,90035,96,A
TROPICAL FRUITS & JUICES,5729 N FIGUEROA ST,LOS ANGELES,CA,90042,95,A
SUBWAY -52105,255 S GRAND AVE STE 101,LOS ANGELES,CA,90012,95,A
IHOP,7006 W SUNSET BLVD,LOS ANGELES,CA,90028,98,A
LA MONARCA BAKERY,5835 N FIGUEROA ST,LOS ANGELES,CA,90042,96,A
G AND J MARKET,2045 W MLK BLVD,LOS ANGELES,CA,90062,92,A
LAXSUL COMPANY,380 WORLD WAY LVL6 SP5,LOS ANGELES,CA,90045,92,A
THE COUNTER SPACE 7C,700 WORLD WAY,LOS ANGELES,CA,90045,84,B
EL VALLE OAXAQUENO RESTAURAN,2318 W JEFFERSON BLVD,LOS ANGELES,CA,90018,98,A
EL VALLE OAXAQUENO RESTAURAN,2318 W JEFFERSON BLVD,LOS ANGELES,CA,90018,97,A
KALBIS KOREAN GRILL,11102 W OLYMPIC BLVD,LOS ANGELES,CA,90064,86,B
TOGO'S,505 S FLOWER ST STE #B420,LOS ANGELES,CA,90071,95,A
RALPHS MARKET #206,5429 HOLLYWOOD BLVD,LOS ANGELES,CA,90027,98,A
AFC SUSHI AT WALGREENS #1527,1501 N VINE ST,LOS ANGELES,CA,90028,95,A
JACKY'S RESTAURANT,310 W 5TH ST #102,LOS ANGELES,CA,90013,91,A
CALIFORNIA MEXICAN GRILL,11106 W OLYMPIC BLVD,LOS ANGELES,CA,90064,90,A
DOLCINI CAFFEE EXPRESSO,619 S GRAND AVE,LOS ANGELES,CA,90017,92,A
PRIME GRIND COFFEE,714 W 1ST ST,LOS ANGELES,CA,90012,93,A
ETCHEA,254 S HOPE ST,LOS ANGELES,CA,90012,91,A
RALPHS MARKET #206,5429 HOLLYWOOD BLVD,LOS ANGELES,CA,90027,98,A
GOOD STUFF BURGERS,11903 W OLYMPIC BLVD,LOS ANGELES,CA,90064,96,A
LOTERIA GRILL SPACE 7C,700 WORLD WAY,LOS ANGELES,CA,90045,95,A
CARNICERIA REGALO DE MICHOAC,6077 E OLYMPIC BLVD,LOS ANGELES,CA,90022,92,A
HOY'S WOK,7105 W SUNSET BLVD,LOS ANGELES,CA,90046,94,A
DAISY'S 99 CENT STORES,547 S EUCLID AVE,LOS ANGELES,CA,90063,98,A
TOCHILT MARKET,4201 S BROADWAY,LOS ANGELES,CA,90037,97,A
BASE COAT -JUICE BAR,704 MATEO ST,LOS ANGELES,CA,90021,99,A
WAX PAPER,2902 KNOX AVE,LOS ANGELES,CA,90039,97,A
STARBUCKS COFFEE #5567,1898 WESTWOOD BLVD,LOS ANGELES,CA,90025,96,A
RENAISSANCE 96TH STREET BISTRO,9620 AIRPORT BLVD,LOS ANGELES,CA,90045,95,A
KIKKA @ ARCO PLAZA,505 S FLOWER ST # B-270,LOS ANGELES,CA,90071,93,A
ROLLING STONE SPACE 7C,700 WORLD WAY,LOS ANGELES,CA,90045,80,B
