,Restaurant ID,Restaurant Name,Restaurant Address,Restaurant City,Restaurant State,Restaurant ZIP,Health Inspection Score,Health Inspection Grade
57,PR0038631,DARYA RESTAURANT,12130 SANTA MONICA BLVD,LOS ANGELES,CA,90025,97,A
58,PR0153961,THE FOUNDATION CENTER,11633 S WESTERN AVE,LOS ANGELES,CA,90047,97,A
59,PR0014756,MOTHERS NUTRITIONAL CTR #446,4214 BEVERLY BLVD # #4222,LOS ANGELES,CA,90020,98,A
60,PR0006530,ONO HAWAIIAN BBQ,5539 W SUNSET BLVD,LOS ANGELES,CA,90028,98,A
61,PR0025454,GOLDEN INDIAN GRILL,5954 W PICO BLVD,LOS ANGELES,CA,90035,92,A
62,PR0197593,MUSH BAKERY,5224 W SUNSET BLVD,LOS ANGELES,CA,90027,94,A
63,PR0156259,REGGIE'S DELI & CAFE,1910 W SUNSET BLVD STE 150,LOS ANGELES,CA,90026,96,A
64,PR0129536,HOT THAI RESTAURANT,416 S SAN VICENTE BLVD,LOS ANGELES,CA,90048,92,A
65,PR0137962,SIMPLETHINGS,10874 KINROSS AVE,LOS ANGELES,CA,90024,92,A
66,PR0000259,EL ANTOJITO,12730 S FIGUEROA ST STE 104-5,LOS ANGELES,CA,90016,90,A
67,PR0048326,AMANECER ILOBASQUENCE & FAMI,4301 S AVALON BLVD,LOS ANGELES,CA,90011,94,A
68,PR0197882,WABA GRILL,7109 W SUNSET BLVD,LOS ANGELES,CA,90046,100,A
69,PR0004662,ALEX FISH MARKET,1451 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,CA,90062,98,A
70,PR0148329,MANNARIA,3250 W OLYMPIC BLVD #308,LOS ANGELES,CA,90006,98,A
71,PR0167492,STEVE S HYUN,816 S GRAND AVE,LOS ANGELES,CA,90017,96,A
72,PR0018515,THANK YOU FOR COMING,3416 GLENDALE BLVD,LOS ANGELES,CA,90039,97,A
73,PR0200485,TORTILLERIA COATZINGO,4205 S BROADWAY ST,LOS ANGELES,CA,90037,97,A
74,PR0026158,CAKE HOUSE,124 N WESTERN AVE,LOS ANGELES,CA,90004,95,A
75,PR0176315,PANDA EXPRESS #2596,1544 S LA CIENEGA BLVD,LOS ANGELES,CA,90035,96,A
76,PR0014584,TROPICAL FRUITS & JUICES,5729 N FIGUEROA ST,LOS ANGELES,CA,90042,95,A
77,PR0017785,SUBWAY -52105,255 S GRAND AVE STE 101,LOS ANGELES,CA,90012,95,A
78,PR0016398,IHOP,7006 W SUNSET BLVD,LOS ANGELES,CA,90028,98,A
79,PR0169816,LA MONARCA BAKERY,5835 N FIGUEROA ST,LOS ANGELES,CA,90042,96,A
80,PR0024262,G AND J MARKET,2045 W MLK BLVD,LOS ANGELES,CA,90062,92,A
81,PR0148112,LAXSUL COMPANY,380 WORLD WAY LVL6 SP5,LOS ANGELES,CA,90045,92,A
82,PR0189582,THE COUNTER SPACE 7C,700 WORLD WAY,LOS ANGELES,CA,90045,84,B
83,PR0007150,EL VALLE OAXAQUENO RESTAURAN,2318 W JEFFERSON BLVD,LOS ANGELES,CA,90018,98,A
84,PR0009574,EL VALLE OAXAQUENO RESTAURAN,2318 W JEFFERSON BLVD,LOS ANGELES,CA,90018,97,A
85,PR0181486,KALBIS KOREAN GRILL,11102 W OLYMPIC BLVD,LOS ANGELES,CA,90064,86,B
86,PR0004315,TOGO'S,505 S FLOWER ST STE #B420,LOS ANGELES,CA,90071,95,A
87,PR0039242,RALPHS MARKET #206,5429 HOLLYWOOD BLVD,LOS ANGELES,CA,90027,98,A
88,PR0019247,AFC SUSHI AT WALGREENS #1527,1501 N VINE ST,LOS ANGELES,CA,90028,95,A
89,PR0143305,JACKY'S RESTAURANT,310 W 5TH ST #102,LOS ANGELES,CA,90013,91,A
90,PR0034895,CALIFORNIA MEXICAN GRILL,11106 W OLYMPIC BLVD,LOS ANGELES,CA,90064,90,A
91,PR0026162,DOLCINI CAFFEE EXPRESSO,619 S GRAND AVE,LOS ANGELES,CA,90017,92,A
92,PR0167604,PRIME GRIND COFFEE,714 W 1ST ST,LOS ANGELES,CA,90012,93,A
93,PR0122337,ETCHEA,254 S HOPE ST,LOS ANGELES,CA,90012,91,A
94,PR0043532,RALPHS MARKET #206,5429 HOLLYWOOD BLVD,LOS ANGELES,CA,90027,98,A
95,PR0152327,GOOD STUFF BURGERS,11903 W OLYMPIC BLVD,LOS ANGELES,CA,90064,96,A
96,PR0189700,LOTERIA GRILL SPACE 7C,700 WORLD WAY,LOS ANGELES,CA,90045,95,A
97,PR0002144,CARNICERIA REGALO DE MICHOAC,6077 E OLYMPIC BLVD,LOS ANGELES,CA,90022,92,A
98,PR0044313,HOY'S WOK,7105 W SUNSET BLVD,LOS ANGELES,CA,90046,94,A
99,PR0026179,DAISY'S 99 CENT STORES,547 S EUCLID AVE,LOS ANGELES,CA,90063,98,A
100,PR0004057,TOCHILT MARKET,4201 S BROADWAY,LOS ANGELES,CA,90037,97,A
