,id,name,overall_rating,review_count,address,city,state,zip
48,h2u-coGd8WWClyU3b7jf8w,Met Her At A Bar,4.5,1552,759 S La Brea Ave,Los Angeles,CA,90036
49,tW4eYiMzeWtcJS7kLHL54g,Pampas Grill,4.0,1228,6333 W 3rd St,Los Angeles,CA,90036
50,e8yeADAtTGRyzkOLG5iKSg,Little Jewel of New Orleans,4.0,1757,207 Ord St,Los Angeles,CA,90012
51,CV0KQ5WpplP2hmzMFtjlgQ,Cleo Hollywood,4.0,1752,1717 Vine St,Los Angeles,CA,90028
52,fEY0zHaDMfIW3-N__joDKQ,Bestia,4.5,6220,2121 E 7th Pl,Los Angeles,CA,90021
53,GPGSBlT_Qivav8vH_d2yOg,Din Tai Fung,4.0,1640,10250 Santa Monica Blvd,Los Angeles,CA,90067
54,88kri8FhXy8b3DQ_QjSMmQ,L'Antica Pizzeria Da Michele,4.5,734,1534 N McCadden Pl,Los Angeles,CA,90028
55,MlmcOkwaNnxl3Zuk6HsPCQ,Slurpin' Ramen Bar - Los Angeles,4.5,4596,3500 W 8th St,Los Angeles,CA,90005
56,AxPJlSxkCJVJk3sSTL_8OA,Philippe the Original,4.0,6281,1001 N Alameda St,Los Angeles,CA,90012
57,lCQaymsrtgmWDMPcEuueeQ,Slab,4.0,436,8136 W 3rd St,Los Angeles,CA,90048
58,oZG16DktFsm-Sl-KDSny_g,Katsu Sando,4.0,104,736 N Broadway,Los Angeles,CA,90012
59,ssAlyvM97hroBeVPVJPgwA,Versailles Cuban Food,4.0,2332,10319 Venice Blvd,Los Angeles,CA,90034
60,nqYbRGPmYA0X_sjSBtXpgw,Sidewalk Grill,4.5,1012,1727 N Vermont Ave,Los Angeles,CA,90027
61,1ZEUvoDlg7ixlwwlK2a3mQ,Ha Sun Saeng - Master Ha,4.5,367,1147 S Western Ave,Los Angeles,CA,90006
62,uzAbw27XQTXTivjgf2bN2w,Han Bat Sul Lung Tang,4.5,2277,4163 W 5th St,Los Angeles,CA,90020
63,-XwCatxfjyujeYbhh6ukrQ,Larchmont Village Wine Spirits & Cheese,4.5,936,223 N Larchmont Blvd,Los Angeles,CA,90004
64,y4X0KfHJ5XWwxMIRukVr1Q,CHD,4.5,72,3377 Wilshire Blvd,Los Angeles,CA,90010
65,2JdQ9vo87C5dQroHzW0oYg,Go Go Bird,4.5,3,1550 N El Centro Ave,Los Angeles,CA,90028
66,BDRVlHnK4l0T0ANb7M-Eqg,Guisados,4.5,2146,1261 W Sunset Blvd,Los Angeles,CA,90026
